model,language,total,censored,censorship_pct,ccp_echo,ccp_echo_pct,thought_suppression,thought_suppression_pct,refusal,refusal_pct,boilerplate,boilerplate_pct
"V3.2-Exp (Sep 2025)","English",1360,1359,99.93,82,6.03,1360,100.00,629,46.25,681,50.07
"R1-0528 (May 2025)","English",1360,1360,100.00,258,18.97,1360,100.00,259,19.04,866,63.68
"R1 (Jan 2025)","English",1360,1359,99.93,80,5.88,1360,100.00,197,14.49,1086,79.85
"V3.1 (Aug 2025)","English",1360,1357,99.78,105,7.72,1360,100.00,545,40.07,739,54.34
"V3.1-Terminus (Sep 2025)","English",1360,1357,99.78,106,7.79,1360,100.00,603,44.34,681,50.07
"R1 (Jan 2025)","Chinese",1360,1352,99.41,271,19.93,1348,99.12,907,66.69,415,30.51
"R1-0528 (May 2025)","Chinese",1360,1359,99.93,321,23.60,1360,100.00,934,68.68,362,26.62
"V3.1 (Aug 2025)","Chinese",1360,1280,94.12,108,7.94,1359,99.93,1034,76.03,226,16.62
"V3.1-Terminus (Sep 2025)","Chinese",1360,1242,91.32,101,7.43,1360,100.00,1073,78.90,153,11.25
"V3.2-Exp (Sep 2025)","Chinese",1360,1322,97.21,59,4.34,1360,100.00,1195,87.87,118,8.68
